"Region or State","The United States",304059724
"Region or State","Northeast (US)",54924779
"Region or State","Midwest (US)",66561448
"Region or State","South (US)",111718549
"Region or State","West (US)",70854948
"Region or State","Alabama",4661900
"Region or State","Alaska",686293
"Region or State","Arizona",6500180
"Region or State","Arkansas",2855390
"Region or State","California",36756666
"Region or State","Colorado",4939456
"Region or State","Connecticut",3501252
"Region or State","Delaware",873092
"Region or State","District of Columbia",591833
"Region or State","Florida",18328340
"Region or State","Georgia",9685744
"Region or State","Hawaii",1288198
"Region or State","Idaho",1523816
"Region or State","Illinois",12901563
"Region or State","Indiana",6376792
"Region or State","Iowa",3002555
"Region or State","Kansas",2802134
"Region or State","Kentucky",4269245
"Region or State","Louisiana",4410796
"Region or State","Maine",1316456
"Region or State","Maryland",5633597
"Region or State","Massachusetts",6497967
"Region or State","Michigan",10003422
"Region or State","Minnesota",5220393
"Region or State","Mississippi",2938618
"Region or State","Missouri",5911605
"Region or State","Montana",967440
"Region or State","Nebraska",1783432
"Region or State","Nevada",2600167
"Region or State","New Hampshire",1315809
"Region or State","New Jersey",8682661
"Region or State","New Mexico",1984356
"Region or State","New York",19490297
"Region or State","North Carolina",9222414
"Region or State","North Dakota",641481
"Region or State","Ohio",11485910
"Region or State","Oklahoma",3642361
"Region or State","Oregon",3790060
"Region or State","Pennsylvania",12448279
"Region or State","Rhode Island",1050788
"Region or State","South Carolina",4479800
"Region or State","South Dakota",804194
"Region or State","Tennessee",6214888
"Region or State","Texas",24326974
"Region or State","Utah",2736424
"Region or State","Vermont",621270
"Region or State","Virginia",7769089
"Region or State","Washington",6549224
"Region or State","West Virginia",1814468
"Region or State","Wisconsin",5627967
"Region or State","Wyoming",532668
"Region or State","Puerto Rico Commonwealth",3954037
"Combined Statistical Area","Albany-Corvallis-Lebanon, OR",194692
"Micropolitan Statistical Area","Albany-Lebanon, OR",113264
"County or equivalent","Linn County, OR",113264
"Metropolitan Statistical Area","Corvallis, OR",81428
"County or equivalent","Benton County, OR",81428
"Combined Statistical Area","Albany-Schenectady-Amsterdam, NY",1148416
"Metropolitan Statistical Area","Albany-Schenectady-Troy, NY",853358
"County or equivalent","Albany County, NY",299307
"County or equivalent","Rensselaer County, NY",155318
"County or equivalent","Saratoga County, NY",215852
"County or equivalent","Schenectady County, NY",150818
"County or equivalent","Schoharie County, NY",32063
"Micropolitan Statistical Area","Amsterdam, NY",48695
"County or equivalent","Montgomery County, NY",48695
"Metropolitan Statistical Area","Glens Falls, NY",128886
"County or equivalent","Warren County, NY",66143
"County or equivalent","Washington County, NY",62743
"Micropolitan Statistical Area","Gloversville, NY",55114
"County or equivalent","Fulton County, NY",55114
"Micropolitan Statistical Area","Hudson, NY",62363
"County or equivalent","Columbia County, NY",62363
"Combined Statistical Area","Ames-Boone, IA",111143
"Metropolitan Statistical Area","Ames, IA",84752
"County or equivalent","Story County, IA",84752
"Micropolitan Statistical Area","Boone, IA",26391
"County or equivalent","Boone County, IA",26391
"Combined Statistical Area","Appleton-Oshkosh-Neenah, WI",380180
"Metropolitan Statistical Area","Appleton, WI",218026
"County or equivalent","Calumet County, WI",44323
"County or equivalent","Outagamie County, WI",173703
"Metropolitan Statistical Area","Oshkosh-Neenah, WI",162154
"County or equivalent","Winnebago County, WI",162154
"Combined Statistical Area","Asheville-Brevard, NC",434304
"Metropolitan Statistical Area","Asheville, NC",404320
"County or equivalent","Buncombe County, NC",226771
"County or equivalent","Haywood County, NC",56430
"County or equivalent","Henderson County, NC",100810
"County or equivalent","Madison County, NC",20309
"Micropolitan Statistical Area","Brevard, NC",29984
"County or equivalent","Transylvania County, NC",29984
"Combined Statistical Area","Atlanta-Sandy Springs-Gainesville, GA-AL",5626400
"Metropolitan Statistical Area","Atlanta, GA",5278904
"County or equivalent","Barrow County, GA",67139
"County or equivalent","Bartow County, GA",92834
"County or equivalent","Butts County, GA",23759
"County or equivalent","Carroll County, GA",111954
"County or equivalent","Cherokee County, GA",204363
"County or equivalent","Clayton County, GA",272217
"County or equivalent","Cobb County, GA",691905
"County or equivalent","Coweta County, GA",118936
"County or equivalent","Dawson County, GA",21484
"County or equivalent","DeKalb County, GA",737093
"County or equivalent","Douglas County, GA",124495
"County or equivalent","Fayette County, GA",106144
"County or equivalent","Forsyth County, GA",158914
"County or equivalent","Fulton County, GA",992137
"County or equivalent","Gwinnett County, GA",776380
"County or equivalent","Haralson County, GA",28718
"County or equivalent","Heard County, GA",11387
"County or equivalent","Henry County, GA",186037
"County or equivalent","Jasper County, GA",13660
"County or equivalent","Lamar County, GA",16961
"County or equivalent","Meriwether County, GA",22748
"County or equivalent","Newton County, GA",96019
"County or equivalent","Paulding County, GA",127906
"County or equivalent","Pickens County, GA",30488
"County or equivalent","Pike County, GA",17204
"County or equivalent","Rockdale County, GA",82052
"County or equivalent","Spalding County, GA",62826
"County or equivalent","Walton County, GA",83144
"Micropolitan Statistical Area","Cedartown, GA",41460
"County or equivalent","Polk County, GA",41460
"Metropolitan Statistical Area","Gainesville, GA",180175
"County or equivalent","Hall County, GA",180175
"Micropolitan Statistical Area","LaGrange, GA",63535
"County or equivalent","Troup County, GA",63535
"Micropolitan Statistical Area","Thomaston, GA",27562
"County or equivalent","Upson County, GA",27562
"Micropolitan Statistical Area","Valley, AL",34764
"County or equivalent","Chambers County, AL",34764
"Combined Statistical Area","Baton Rouge-Pierre Part, LA",793028
"Metropolitan Statistical Area","Baton Rouge, LA",770037
"County or equivalent","Ascension Parish, LA",99056
"County or equivalent","East Baton Rouge Parish, LA",430317
"County or equivalent","East Feliciana Parish, LA",20833
"County or equivalent","Iberville Parish, LA",32501
"County or equivalent","Livingston Parish, LA",116580
"County or equivalent","Pointe Coupee Parish, LA",22392
"County or equivalent","St. Helena Parish, LA",10620
"County or equivalent","West Baton Rouge Parish, LA",22625
"County or equivalent","West Feliciana Parish, LA",15113
"Micropolitan Statistical Area","Pierre Part, LA",22991
"County or equivalent","Assumption Parish, LA",22991
"Combined Statistical Area","Beckley-Oak Hill, WV",125504
"Micropolitan Statistical Area","Beckley, WV",79170
"County or equivalent","Raleigh County, WV",79170
"Micropolitan Statistical Area","Oak Hill, WV",46334
"County or equivalent","Fayette County, WV",46334
"Combined Statistical Area","Bend-Prineville, OR",176934
"Metropolitan Statistical Area","Bend, OR",154028
"County or equivalent","Deschutes County, OR",154028
"Micropolitan Statistical Area","Prineville, OR",22906
"County or equivalent","Crook County, OR",22906
"Combined Statistical Area","Birmingham-Hoover-Cullman, AL",1188764
"Metropolitan Statistical Area","Birmingham-Hoover, AL",1108210
"County or equivalent","Bibb County, AL",21535
"County or equivalent","Blount County, AL",56614
"County or equivalent","Chilton County, AL",42299
"County or equivalent","Jefferson County, AL",658779
"County or equivalent","St. Clair County, AL",78054
"County or equivalent","Shelby County, AL",182113
"County or equivalent","Walker County, AL",68816
"Micropolitan Statistical Area","Cullman, AL",80554
"County or equivalent","Cullman County, AL",80554
"Combined Statistical Area","Boston-Worcester-Manchester, MA-RI-NH",7476689
"Metropolitan Statistical Area","Boston-Cambridge-Quincy, MA-NH",4482857
"Metropolitan Division","Boston-Quincy, MA",1858216
"County or equivalent","Norfolk County, MA",654909
"County or equivalent","Plymouth County, MA",490258
"County or equivalent","Suffolk County, MA",713049
"Metropolitan Division","Cambridge-Newton-Framingham, MA",1473416
"County or equivalent","Middlesex County, MA",1473416
"Metropolitan Division","Peabody, MA",733101
"County or equivalent","Essex County, MA",733101
"Metropolitan Division","Rockingham County-Strafford County, NH",418124
"County or equivalent","Rockingham County, NH",296543
"County or equivalent","Strafford County, NH",121581
"Micropolitan Statistical Area","Concord, NH",148274
"County or equivalent","Merrimack County, NH",148274
"Micropolitan Statistical Area","Laconia, NH",61048
"County or equivalent","Belknap County, NH",61048
"Metropolitan Statistical Area","Manchester-Nashua, NH",402302
"County or equivalent","Hillsborough County, NH",402302
"Metropolitan Statistical Area","Providence-New Bedford-Fall River, RI-MA",1600856
"County or equivalent","Bristol County, MA",543024
"County or equivalent","Bristol County, RI",50079
"County or equivalent","Kent County, RI",168639
"County or equivalent","Newport County, RI",82777
"County or equivalent","Providence County, RI",629435
"County or equivalent","Washington County, RI",126902
"Metropolitan Statistical Area","Worcester, MA",781352
"County or equivalent","Worcester County, MA",781352
"Combined Statistical Area","Brownsville-Harlingen-Raymondville, TX",407723
"Metropolitan Statistical Area","Brownsville-Harlingen, TX",387210
"County or equivalent","Cameron County, TX",387210
"Micropolitan Statistical Area","Raymondville, TX",20513
"County or equivalent","Willacy County, TX",20513
"Combined Statistical Area","Buffalo-Niagara-Cattaraugus, NY",1208270
"Metropolitan Statistical Area","Buffalo-Niagara Falls, NY",1128183
"County or equivalent","Erie County, NY",913338
"County or equivalent","Niagara County, NY",214845
"Micropolitan Statistical Area","Olean, NY",80087
"County or equivalent","Cattaraugus County, NY",80087
"Combined Statistical Area","Cape Girardeau-Sikeston-Jackson, MO-IL",134051
"Micropolitan Statistical Area","Cape Girardeau-Jackson, MO-IL",93316
"County or equivalent","Alexander County, IL",8458
"County or equivalent","Bollinger County, MO",12118
"County or equivalent","Cape Girardeau County, MO",72740
"Micropolitan Statistical Area","Sikeston, MO",40735
"County or equivalent","Scott County, MO",40735
"Combined Statistical Area","Charlotte-Gastonia-Salisbury, NC-SC",2277074
"Micropolitan Statistical Area","Albemarle, NC",59195
"County or equivalent","Stanly County, NC",59195
"Metropolitan Statistical Area","Charlotte-Gastonia-Concord, NC-SC",1651568
"County or equivalent","Anson County, NC",25202
"County or equivalent","Cabarrus County, NC",163262
"County or equivalent","Gaston County, NC",202535
"County or equivalent","Mecklenburg County, NC",867067
"County or equivalent","Union County, NC",184675
"County or equivalent","York County, SC",208827
"Micropolitan Statistical Area","Chester, SC",32531
"County or equivalent","Chester County, SC",32531
"Micropolitan Statistical Area","Lancaster, SC",73393
"County or equivalent","Lancaster County, SC",73393
"Micropolitan Statistical Area","Lincolnton, NC",73106
"County or equivalent","Lincoln County, NC",73106
"Micropolitan Statistical Area","Salisbury, NC",137383
"County or equivalent","Rowan County, NC",137383
"Micropolitan Statistical Area","Shelby, NC",98453
"County or equivalent","Cleveland County, NC",98453
"Micropolitan Statistical Area","Statesville-Mooresville, NC",151445
"County or equivalent","Iredell County, NC",151445
"Combined Statistical Area","Chattanooga-Cleveland-Athens, TN-GA",677820
"Micropolitan Statistical Area","Athens, TN",52131
"County or equivalent","McMinn County, TN",52131
"Metropolitan Statistical Area","Chattanooga, TN-GA",514568
"County or equivalent","Catoosa County, GA",62241
"County or equivalent","Dade County, GA",16098
"County or equivalent","Walker County, GA",64554
"County or equivalent","Hamilton County, TN",330168
"County or equivalent","Marion County, TN",28138
"County or equivalent","Sequatchie County, TN",13369
